# AlloCiné ID,IMDb ID,BetaSeries ID,SensCritique ID
20751,tt1034007,alias-grace,Captive/22143640
20756,tt5912064,kims-convenience,Kim_s_Convenience/22510324
20760,tt4916574,backstage,Backstage/19662649
20762,tt6423364,bad-blood-2017,Bad_Blood/27279683
20763,tt5583512,cardinal,Cardinal/24059016
20765,tt6236572,mary-kills-people,Mary_Kills_People/24396986
20767,tt5482406,barracuda,Barracuda/22008440
20769,tt4192782,glitch-2015,Glitch/15957766
20780,tt5193358,wanted-2016,Wanted_2016/18806273
20790,tt6001964,deep-water,Deep_Water/22976468
20805,tt5923012,here-now,Here_and_Now/29065914
20827,tt4939064,mars-2016,Mars/23192339
20841,tt8168678,le-chalet-2018,Le_Chalet/31468941
20842,tt6560040,la-foret,La_foret/26453841
